Rodada,Mandante,Visitante,Prob_Vit_Mandante,Prob_Empate,Prob_Vit_Visitante
31,Grêmio,Atlético-GO,0.33811519297053083,0.3679540061898382,0.293930800839631
31,Atlético-MG,Internacional,0.47510780547727577,0.2505965255171323,0.27429566900559216
31,Vitória,Fluminense,0.7454634833743186,0.1412175129245847,0.1133190037010966
31,Flamengo,Juventude,0.5138240959674721,0.22358200666594755,0.26259389736658056
31,Vasco,Bahia,0.4543683762090559,0.2516082148818892,0.294023408909055
31,Palmeiras,Fortaleza,0.4000229503003019,0.2164387095048129,0.3835383401948853
31,Bragantino,Botafogo,0.4023626754962369,0.37341517750492015,0.2242221469988429
31,Athletico-PR,Cruzeiro,0.44564258584109434,0.17094470003077436,0.3834127141281315
31,Cuiabá,Corinthians,0.5468023064923865,0.2110240332645233,0.24217366024309026
31,Criciúma,São Paulo,0.5294854280897905,0.31793151406875486,0.15258305784145437
32,Internacional,Criciúma,0.4268713476241858,0.3421043219072476,0.23102433046856674
32,Cruzeiro,Flamengo,0.2657437830542202,0.2753367846506837,0.45891943229509613
32,Bahia,São Paulo,0.44592423437826506,0.18386908374533675,0.3702066818763985
32,Fluminense,Grêmio,0.43902225494896463,0.17331774254239501,0.38766000250864047
32,Botafogo,Vasco,0.6230700891552915,0.1255790755879329,0.2513508352567758
32,Corinthians,Palmeiras,0.3951601854319617,0.3321312440981065,0.2727085704699318
32,Bragantino,Cuiabá,0.6115548113533784,0.1750618667935008,0.2133833218531206
32,Athletico-PR,Vitória,0.46790167851491177,0.251277027204712,0.2808212942803763
32,Atlético-GO,Atlético-MG,0.36145235476925824,0.37061831145817414,0.2679293337725675
32,Juventude,Fortaleza,0.32572084085261366,0.2421421262719505,0.43213703287543587
33,Internacional,Fluminense,0.8053480292131251,0.09882619995965258,0.09582577082722249
33,Cruzeiro,Criciúma,0.3592047399739407,0.37079297288096796,0.27000228714509134
33,Vitória,Corinthians,0.5345120435484717,0.21518407188807628,0.2503038845634521
33,Flamengo,Atlético-MG,0.4166932535026541,0.20512133291387752,0.37818541358346847
33,Botafogo,Cuiabá,0.7089629679674642,0.13279913283487743,0.15823789919765852
33,Palmeiras,Grêmio,0.3548924378615938,0.3744627574369897,0.2706448047014166
33,São Paulo,Athletico-PR,0.34449465729807516,0.17481035338364034,0.48069498931828436
33,Fortaleza,Vasco,0.5207750484936076,0.23372060327257313,0.2455043482338193
33,Atlético-GO,Bragantino,0.30867203097808066,0.2695198942493158,0.42180807477260346
33,Juventude,Bahia,0.41705617715929466,0.2780970715690426,0.304846751271663
34,Grêmio,Juventude,0.36851021319084487,0.3846021036799027,0.2468876831292524
34,Atlético-MG,Botafogo,0.41379670395798596,0.2735960898062901,0.312607206235724
34,Bahia,Palmeiras,0.4703998243987339,0.1784479023704565,0.3511522732308099
34,Fluminense,Fortaleza,0.30554762510953537,0.21168802258007194,0.4827643523103928
34,Vasco,Internacional,0.4366726592283502,0.32195734836308304,0.2413699924085667
34,Corinthians,Cruzeiro,0.4220031122962963,0.3045166229822105,0.27348026472149334
34,Bragantino,São Paulo,0.45897128678561694,0.34019487616778876,0.20083383704659444
34,Athletico-PR,Atlético-GO,0.5333950594805811,0.20826135699018788,0.25834358352923115
34,Cuiabá,Flamengo,0.303771163486707,0.38834267405878636,0.3078861624545069
34,Criciúma,Vitória,0.4237660319354638,0.36713540107331794,0.20909856699121832
35,Internacional,Bragantino,0.4100815096281368,0.2711742393162839,0.3187442510555794
35,Cruzeiro,Grêmio,0.34178421550797294,0.3017932061819381,0.356422578310089
35,Bahia,Athletico-PR,0.34265869496493506,0.19630505526431385,0.46103624977075097
35,Fluminense,Criciúma,0.43305034426998296,0.23643370316871526,0.3305159525613021
35,Botafogo,Vitória,0.4876826408034075,0.23562343922588705,0.2766939199707055
35,Corinthians,Vasco,0.59443013743982,0.17621596820670646,0.22935389435347364
35,São Paulo,Atlético-MG,0.41200320429669113,0.1844017670140443,0.4035950286892648
35,Fortaleza,Flamengo,0.376079593617735,0.3466642582428041,0.27725614813946103
35,Atlético-GO,Palmeiras,0.38640638414276646,0.3574464405740826,0.25614717528315095
35,Juventude,Cuiabá,0.578949316339387,0.18452319197505682,0.23652749168555615
36,Grêmio,São Paulo,0.3464515332294608,0.34998165588147356,0.3035668108890656
36,Atlético-MG,Juventude,0.4637224817301233,0.2555893181265612,0.2806882001433157
36,Vitória,Fortaleza,0.3797132975312632,0.24008177895320656,0.38020492351553037
36,Flamengo,Internacional,0.5078174939247032,0.2114663840084171,0.2807161220668799
36,Vasco,Atlético-GO,0.42402395875783827,0.3267904122547738,0.24918562898738794
36,Palmeiras,Botafogo,0.35811529211008575,0.33038525952236797,0.31149944836754634
36,Bragantino,Cruzeiro,0.4225302855281507,0.3108415999935373,0.2666281144783121
36,Athletico-PR,Fluminense,0.817147725612445,0.08530198661318993,0.09755028777436511
36,Cuiabá,Bahia,0.4167774176753709,0.32743210863605093,0.2557904736885782
36,Criciúma,Corinthians,0.6189845076906223,0.17667186892953965,0.20434362337983802
37,Internacional,Botafogo,0.43871108677478005,0.24198152141326307,0.31930739181195705
37,Cruzeiro,Palmeiras,0.37818978369603834,0.3011240951104995,0.3206861211934621
37,Vitória,Grêmio,0.3847007231101928,0.3884472631787672,0.22685201371104013
37,Fluminense,Cuiabá,0.608173410995217,0.12643818278533522,0.2653884062194478
37,Vasco,Atlético-MG,0.361597998876383,0.3253840652994517,0.3130179358241653
37,Corinthians,Bahia,0.4174924935568093,0.31316696158097435,0.26934054486221654
37,São Paulo,Juventude,0.49974857622386937,0.1680758417502236,0.33217558202590725
37,Athletico-PR,Bragantino,0.45991954641632465,0.22206689061013538,0.3180135629735401
37,Atlético-GO,Fortaleza,0.33224836816709924,0.26568832078667154,0.40206331104622917
37,Criciúma,Flamengo,0.3956789191470244,0.35724968850600947,0.24707139234696615
38,Grêmio,Corinthians,0.4668298519046101,0.24943613972424572,0.2837340083711443
38,Atlético-MG,Athletico-PR,0.3193007059657267,0.26947377068506023,0.41122552334921286
38,Bahia,Atlético-GO,0.49596012393817296,0.13459407557711217,0.3694458004847151
38,Flamengo,Vitória,0.4979511179934499,0.21363503913701976,0.2884138428695306
38,Botafogo,São Paulo,0.47257222253398934,0.19829177844422152,0.32913599902178925
38,Palmeiras,Fluminense,0.76998229115858,0.1384427023912353,0.09157500645018475
38,Bragantino,Criciúma,0.401591864168841,0.4028312644668911,0.19557687136426805
38,Fortaleza,Internacional,0.47371529198567963,0.32551961589344264,0.20076509212087756
38,Cuiabá,Vasco,0.5013366492972986,0.19927659476884876,0.29938675593385267
38,Juventude,Cruzeiro,0.371495711397233,0.2713797039803172,0.35712458462245
